Ticker,Stock,% of Portfolio,Shares,Reported Price
MSFT,MICROSOFT CORP,33.98%,"38,210,869",$376.04
BRK.B,BERKSHIRE HATHAWAY INC CL-B,16.80%,"19,916,349",$356.66
CNI,CANADIAN NATL RAILWAY CO,16.29%,"54,826,786",$125.63
WM,WASTE MANAGEMENT INC,14.92%,"35,234,344",$179.10
CAT,CATERPILLAR INC,5.14%,"7,353,614",$295.67
DE,DEERE & CO,3.36%,"3,557,378",$399.87
ECL,ECOLAB INC,2.45%,"5,218,044",$198.35
KOF,COCA-COLA FEMSA SAB-SP ADR,1.39%,"6,214,719",$94.64
WMT,WALMART INC,1.13%,"3,030,159",$157.65
FDX,FEDEX CORP,0.92%,"1,534,362",$252.97
WCN,WASTE CONNECTIONS INC,0.76%,"2,149,175",$149.27
SDGR,SCHRODINGER INC,0.59%,"6,981,664",$35.80
CCI,CROWN CASTLE INTL CORP,0.39%,"1,420,072",$115.19
CPNG,COUPANG INC,0.35%,"9,248,045",$16.19
UPS,UNITED PARCEL SERVICE-CL B,0.28%,"755,089",$157.23
BUD,ANHEUSER-BUSCH INBEV-SPN ADR,0.26%,"1,703,000",$64.62
MSGS,MADISON SQUARE GARDEN SPORTS,0.25%,"592,406",$181.83
KHC,KRAFT HEINZ CO/THE,0.23%,"2,622,600",$36.98
DHR,DANAHER CORP,0.20%,"373,000",$231.34
HRL,HORMEL FOODS CORP,0.17%,"2,195,290",$32.11
