Ticker,Stock,% of Portfolio,Shares,Reported Price
BABA,ALIBABA GROUP HOLDING-SP ADR,6.15%,"75,000",$77.51
JD,JDCOM INC-ADR,6.11%,"200,000",$28.89
HCA,HCA HEALTHCARE INC,5.72%,"20,000",$270.68
ORCL,ORACLE CORP,5.57%,"50,000",$105.43
C,CITIGROUP INC COM NEW,5.44%,"100,000",$51.44
CVS,CVS HEALTH CORP,5.43%,"65,000",$78.96
NXST,NEXSTAR MEDIA GROUP INC-CL A,5.39%,"32,500",$156.75
GOOGL,ALPHABET INC-CL A,5.17%,"35,000",$139.69
SBLK,STAR BULK CARRIERS CORP,4.95%,"220,208",$21.26
AMZN,AMAZONCOM INC,4.82%,"30,000",$151.94
MGM,MGM RESORTS INTERNATIONAL,4.72%,"100,000",$44.68
BKNG,BOOKING HOLDINGS INC,4.69%,"1,250","$3,547.22"
AAP,ADVANCE AUTO PARTS INC,4.52%,"70,000",$61.03
WBD,WARNER BROS DISCOVERY INC,4.51%,"375,000",$11.38
LPI,LAREDO PETROLEUM INC,4.21%,"87,500",$45.49
SQ,SQUARE INC - A,4.09%,"50,000",$77.35
BRKR,BRUKER CORP,3.88%,"50,000",$73.48
TOST,TOAST INC-CLASS A,3.86%,"200,000",$18.26
MTD,METTLER-TOLEDO INTERNATIONAL,2.56%,"2,000","$1,212.96"
ACIC,AMERICAN COASTAL INSURANCE C,2.10%,"210,368",$9.46
