Ticker,Stock,% of Portfolio,Shares,Reported Price
AAPL,APPLE INC,50.19%,"905,560,000",$192.53
BAC,BANK OF AMERICA CORP,10.01%,"1,032,852,006",$33.67
AXP,AMERICAN EXPRESS CO,8.18%,"151,610,700",$187.34
KO,COCA-COLA CO/THE,6.79%,"400,000,000",$58.93
CVX,CHEVRON CORP,5.41%,"126,093,326",$149.16
OXY,OCCIDENTAL PETROLEUM CORP,4.19%,"243,715,804",$59.71
KHC,KRAFT HEINZ CO/THE,3.47%,"325,634,818",$36.98
MCO,MOODY'S CORP,2.77%,"24,669,778",$390.56
DVA,DAVITA INC,1.09%,"36,095,570",$104.76
C,CITIGROUP INC COM NEW,0.82%,"55,244,797",$51.44
VRSN,VERISIGN INC,0.76%,"12,815,613",$205.96
KR,KROGER CO,0.66%,"50,000,000",$45.71
V,VISA INC-CLASS A SHARES,0.62%,"8,297,460",$260.35
MA,MASTERCARD INC - A,0.49%,"3,986,648",$426.51
COF,CAPITAL ONE FINANCIAL CORP,0.47%,"12,471,030",$131.12
AMZN,AMAZONCOM INC,0.44%,"10,000,000",$151.94
CHTR,CHARTER COMMUNICATIONS INC-A,0.43%,"3,828,941",$388.68
LSXMK,LIBERTY MEDIA CORP-LIBER-NEW,0.36%,"43,208,291",$28.78
SNOW,SNOWFLAKE INC-CLASS A,0.35%,"6,125,376",$199.00
AON,AON PLC-CLASS A,0.34%,"4,100,000",$291.02
